minute,player1,zone1,player2,zone2
0,26,2,7,2
0,7,2,13,4
0,13,4,19,4
0,19,4,13,4
0,13,4,19,4
0,19,4,3,3
0,3,3,20,3
1,11,3,19,3
1,19,3,13,4
1,13,4,19,4
1,19,4,13,4
1,13,4,19,4
1,19,4,23,1
2,11,5,20,5
2,20,5,10,7
2,10,7,11,6
2,7,7,10,7
2,10,7,7,7
3,19,4,13,4
3,7,5,19,5
3,19,5,24,5
3,24,5,13,5
3,13,5,26,5
3,10,5,13,5
3,13,5,11,6
4,11,6,3,6
4,3,6,20,6
4,20,6,11,6
4,3,6,20,6
4,10,7,7,7
4,9,7,20,7
7,7,2,26,2
7,24,4,10,4
7,10,4,20,5
7,20,7,11,6
7,11,6,20,6
7,20,6,24,7
7,24,7,9,9
7,9,9,11,6
7,11,9,7,7
8,7,7,10,8
8,10,8,7,8
11,7,4,20,4
11,20,4,11,3
11,11,3,3,3
11,3,3,19,3
11,19,3,23,1
11,23,1,13,1
11,13,1,24,4
11,24,5,7,8
11,7,8,10,7
11,10,7,11,6
11,11,6,7,7
13,23,1,19,4
13,19,4,24,4
13,24,4,19,4
13,19,4,13,1
13,13,1,9,5
13,9,5,10,5
13,10,5,9,5
13,20,5,11,6
13,11,7,10,7
14,24,4,9,4
14,9,4,7,4
14,7,5,20,5
14,20,5,11,6
14,11,6,3,5
14,3,5,20,5
14,20,5,24,5
14,24,5,26,5
14,26,5,13,4
14,13,4,19,5
15,19,5,11,6
15,11,6,3,5
15,3,5,24,5
15,24,5,19,4
15,19,4,24,4
15,24,4,13,4
15,13,5,11,5
15,11,5,19,5
16,7,8,10,7
16,10,7,7,9
16,7,9,11,9
19,23,1,13,1
19,13,1,24,4
19,24,4,19,4
19,19,4,3,3
19,3,3,19,4
19,19,4,13,4
19,13,4,7,4
19,7,4,13,4
19,13,4,26,5
19,26,5,7,4
19,7,4,19,4
19,19,5,11,5
19,11,5,19,5
20,19,4,13,4
20,13,4,7,5
20,7,4,13,4
20,13,4,19,4
20,19,5,24,5
20,24,5,10,7
20,10,7,26,8
20,26,8,7,7
20,7,7,19,5
20,19,5,24,7
20,24,7,19,5
20,19,5,24,5
20,24,5,13,5
20,13,5,7,5
20,7,5,24,5
20,24,7,20,7
20,20,7,9,7
20,9,7,11,6
24,13,1,11,4
24,11,4,9,4
24,9,4,20,4
24,20,4,3,3
25,9,5,20,5
25,20,5,24,5
25,24,5,3,5
25,3,5,11,5
28,24,7,10,8
29,10,8,20,9
29,20,4,3,4
29,3,4,24,4
29,24,4,26,4
29,26,5,9,7
29,9,7,10,5
29,10,7,20,7
30,20,7,11,6
30,24,5,3,5
30,3,5,19,4
30,19,4,23,1
30,23,1,13,1
30,13,4,7,4
30,7,4,10,4
31,10,4,7,5
31,7,8,10,5
31,10,5,20,7
31,20,7,10,7
31,10,7,11,6
31,11,6,20,6
31,20,6,24,7
31,24,7,20,6
31,20,6,9,7
32,26,8,10,8
32,20,7,24,7
32,24,7,9,7
32,9,7,24,7
32,24,7,7,7
32,19,5,13,5
32,13,5,7,5
32,7,5,24,5
32,24,5,19,5
32,19,5,3,5
32,3,5,11,6
32,11,6,20,6
33,20,5,11,6
33,13,4,23,1
33,23,1,26,2
33,26,2,7,4
33,7,5,24,4
33,24,5,26,8
33,26,8,7,5
33,7,5,13,4
33,13,4,19,4
33,19,5,24,5
33,24,5,19,5
33,19,5,24,5
33,24,5,13,4
33,13,4,7,5
33,7,5,19,5
34,19,5,13,4
34,13,4,7,5
34,7,5,10,7
34,10,7,11,6
34,11,7,10,7
34,24,7,3,6
34,3,6,24,6
34,24,6,3,6
34,3,6,11,6
34,11,6,24,6
34,24,6,13,5
34,13,5,23,4
34,23,4,19,4
34,19,4,23,1
34,23,1,13,1
31,13,1,26,2
35,26,1,23,1
35,26,2,20,4
35,20,4,10,5
35,10,5,9,5
35,9,5,20,7
35,20,7,11,9
37,3,3,11,3
37,11,3,24,3
37,24,3,20,3
37,20,4,24,4
37,24,4,10,4
37,10,4,7,4
37,7,4,19,4
37,19,4,13,4
37,13,4,24,4
37,24,4,19,4
37,19,4,3,3
37,3,3,19,3
37,19,3,3,3
37,3,3,20,5
38,11,5,26,4
38,26,4,7,4
38,7,4,13,4
38,13,4,24,4
38,13,4,10,5
39,20,3,11,5
39,11,5,9,5
39,9,5,24,5
39,24,5,7,5
39,7,5,10,5
39,10,4,19,4
39,19,4,3,3
39,3,3,19,3
39,19,4,13,4
39,13,4,19,4
39,19,4,24,4
39,24,4,26,2
39,13,4,26,2
29,26,2,7,2
39,7,2,26,2
39,13,2,24,4
40,24,4,26,2
40,26,2,7,2
40,7,2,19,4
40,19,4,11,5
41,19,3,20,5
41,11,6,26,4
41,26,4,19,4
41,19,4,3,5
42,11,5,19,3
42,19,3,13,4
42,13,1,24,4
42,24,5,11,6
43,24,4,13,4
43,13,4,26,2
44,19,4,7,4
44,26,4,10,4
44,10,4,26,2
45,26,5,7,5
45,7,5,13,2
45,13,4,19,4
45,19,4,3,3
47,26,5,10,7
48,26,8,7,8
48,7,8,26,8
48,26,8,9,8
48,13,5,23,4
48,23,4,19,4
48,19,4,11,5
49,13,4,24,4
49,24,4,20,4
50,3,6,9,6
50,19,5,24,5
50,20,6,24,6
50,24,6,10,7
50,10,7,24,7
51,24,5,13,5
