minute;player1;player2;zone1;zone2;;;
45;10;24;5;4;;;
45;24;7;4;4;;;
45;7;19;4;4;;;
45;19;3;4;3;;;
45;3;11;2;6;;;
45;11;3;6;2;;;
45;3;19;2;4;;;
45;19;23;4;1;;;
45;20;10;5;5;;;
45;10;9;7;6;;;
45;9;7;7;8;;;
45;7;9;8;8;;;
45;9;24;8;7;;;
47;26;7;1;2;;;
47;7;23;2;1;;;
48;26;10;8;7;;;
48;13;10;5;7;;;
48;10;11;7;7;;;
48;11;7;7;7;;;
49;11;23;4;1;;;
49;23;26;1;2;;;
49;26;7;5;5;;;
50;26;10;5;8;;;
50;10;26;8;5;;;
50;26;23;5;1;;;
50;23;19;1;4;;;
50;19;3;4;3;;;
50;3;20;3;5;;;
50;20;3;5;5;;;
50;3;19;3;3;;;
51;23;11;1;2;;;
51;11;10;7;7;;;
51;10;7;7;8;;;
51;26;7;8;8;;;
51;7;26;8;8;;;
53;26;9;8;8;;;
53;19;3;5;8;;;
53;3;23;5;4;;;
53;23;24;4;4;;;
54;7;24;2;2;;;
54;24;7;2;2;;;
55;7;13;5;2;;;
55;13;20;2;5;;;
57;24;10;5;5;;;
57;10;24;5;5;;;
57;24;7;5;5;;;
57;7;10;5;5;;;
58;3;11;6;6;;;
58;11;9;7;7;;;
59;20;11;5;6;;;
59;11;10;9;9;;;
60;3;24;3;4;;;
61;23;7;2;2;;;
61;7;23;2;2;;;
61;23;24;2;2;;;
61;24;7;2;2;;;
61;7;10;2;5;;; 
62;20;10;5;5;;;
62;10;9;5;7;;;
64;3;24;5;5;;;
64;24;19;5;4;;;
64;19;13;4;4;;;
64;13;19;4;3;;;
64;19;3;3;3;;;
64;3;9;3;7;;;
64;9;10;7;5;;;
64;10;8;7;6;;;
64;8;20;6;7;;;
64;20;8;7;6;;;
64;8;10;6;6;;;
64;10;9;6;7;;;
65;26;7;2;2;;;
65;7;26;2;2;;;
66;3;8;3;3;;;
68;13;7;5;5;;;
68;7;24;2;2;;;
68;24;20;2;5;;;
68;20;24;5;5;;;
68;24;10;5;5;;;
68;10;24;5;4;;;
68;24;19;4;4;;;
68;19;3;4;3;;;
69;7;10;2;2;;;
69;7;26;2;2;;;
71;3;9;6;6;;;
71;9;20;6;6;;;
71;20;8;6;6;;;
71;8;20;6;6;;;
71;20;10;6;6;;;
71;10;24;7;7;;;
74;13;24;2;2;;;
74;24;7;2;2;;;
74;7;9;2;8;;;
76;26;10;2;4;;;
76;10;7;4;8;;;
76;7;10;8;8;;;
76;7;10;8;8;;;
76;10;26;8;8;;;
76;26;10;8;8;;;
76;10;7;8;8;;;
76;7;20;8;7;;;
76;20;24;7;7;;;
76;24;10;7;8;;;
77;10;7;7;8;;;
77;19;24;4;5;;;
77;24;8;5;5;;;
77;8;20;5;5;;;
77;20;24;5;5;;;
77;24;7;5;5;;;
77;7;26;5;2;;;
77;26;24;2;5;;;
77;24;7;5;5;;;
77;7;24;5;5;;;
77;24;7;5;5;;;
77;7;10;5;8;;;
78;26;24;5;5;;;
78;24;26;5;5;;;
79;26;13;2;4;;;
79;13;19;4;4;;;
79;19;23;1;1;;;
80;23;8;1;5;;;
80;19;7;4;4;;;
82;10;24;5;5;;;
82;24;7;5;5;;;
82;7;13;5;4;;;
82;13;24;4;4;;;
82;24;3;4;3;;;
82;3;8;3;5;;;
82;3;9;6;6;;;
83;9;3;6;6;;;
83;9;7;7;7;;;
83;7;9;7;7;;;
83;9;8;6;6;;;
83;8;24;6;7;;;
83;13;26;5;8;;;
83;19;7;7;7;;;
83;13;7;2;2;;;
83;7;24;5;5;;;
83;24;9;5;7;;;
83;9;10;7;7;;;
89;13;7;1;2;;;
90;13;9;4;5;;;
90;13;24;4;4;;;
90;3;8;7;6;;;
92;4;7;1;4;;;
92;7;8;3;3;;;
92;3;19;3;4;;;
92;19;4;4;2;;;
92;26;7;2;5;;;
94;23;24;1;5;;;
94;24;7;5;5;;;
94;7;4;5;5;;;
94;4;10;8;8;;;
94;4;10;8;8;;;
94;10;13;7;7;;;
95;4;7;4;2;;;
95;7;24;2;4;;;
95;24;10;5;5;;;
95;10;8;7;8;;;
95;8;3;7;9;;;
96;19;24;4;4;;;
96;24;20;4;4;;;
96;20;8;5;5;;;
96;8;9;6;6;;;
96;9;7;6;7;;;
96;7;10;7;7;;;
98;19;20;1;1;;;
98;20;24;1;4;;;
98;24;10;4;4;;;
98;10;9;7;7;;;
98;9;10;7;7;;;
98;10;7;7;7;;;
